,index,f-measure,markerCount,clusterName,1,2,3
14,CL1&CD8a>=1658.0&CD45RO>=233.5&CD3>=263.5,0.636363636364,3,CL1,CD8a,CD45RO,CD3
19,CL1&CD3>=263.5&CD45RO>=233.5&CD8a>=1658.0,0.636363636364,3,CL1,CD3,CD45RO,CD8a
28,CL1&CD8a>=1658.0&CD3>=263.5&CD45RO>=233.5,0.636363636364,3,CL1,CD8a,CD3,CD45RO
117,CL1&CD45RO>=233.5&CD8a>=1658.0&CD3>=263.5,0.636363636364,3,CL1,CD45RO,CD8a,CD3
124,CL1&CD3>=263.5&CD8a>=1658.0&CD45RO>=233.5,0.636363636364,3,CL1,CD3,CD8a,CD45RO
127,CL1&CD45RO>=233.5&CD3>=263.5&CD8a>=1658.0,0.636363636364,3,CL1,CD45RO,CD3,CD8a
4,CL1&CD8a>=1658.0&CD45RO>=233.5,0.636334712059,2,CL1,CD8a,CD45RO,nan
95,CL1&CD45RO>=233.5&CD8a>=1658.0,0.636334712059,2,CL1,CD45RO,CD8a,nan
49,CL1&CD8a>=1658.0&CD3>=263.5,0.534896501191,2,CL1,CD8a,CD3,nan
83,CL1&CD3>=263.5&CD8a>=1658.0,0.534896501191,2,CL1,CD3,CD8a,nan
5,CL1&CD8a>=1658.0,0.53451101803,1,CL1,CD8a,nan,nan
10,CL1&CD3>=263.5&CD45RO>=233.5,0.212216956293,2,CL1,CD3,CD45RO,nan
85,CL1&CD45RO>=233.5&CD3>=263.5,0.212216956293,2,CL1,CD45RO,CD3,nan
45,CL1&CD3>=263.5,0.169912731896,1,CL1,CD3,nan,nan
42,CL1&CD45RO>=233.5,0.137912200451,1,CL1,CD45RO,nan,nan
3,CL2&CD45RA>=741.5&CD3>=2121.0&CD4>=1289.0,0.837190581606,3,CL2,CD45RA,CD3,CD4
6,CL2&CD45RA>=741.5&CD4>=1289.0&CD3>=2121.0,0.837190581606,3,CL2,CD45RA,CD4,CD3
71,CL2&CD3>=2121.0&CD45RA>=741.5&CD4>=1289.0,0.837190581606,3,CL2,CD3,CD45RA,CD4
81,CL2&CD4>=1289.0&CD45RA>=741.5&CD3>=2121.0,0.837190581606,3,CL2,CD4,CD45RA,CD3
100,CL2&CD3>=2121.0&CD4>=1289.0&CD45RA>=741.5,0.837190581606,3,CL2,CD3,CD4,CD45RA
108,CL2&CD4>=1289.0&CD3>=2121.0&CD45RA>=741.5,0.837190581606,3,CL2,CD4,CD3,CD45RA
1,CL2&CD4>=1289.0&CD45RA>=741.5,0.805660068706,2,CL2,CD4,CD45RA,nan
48,CL2&CD45RA>=741.5&CD4>=1289.0,0.805660068706,2,CL2,CD45RA,CD4,nan
61,CL2&CD45RA>=741.5&CD3>=2121.0,0.759368836292,2,CL2,CD45RA,CD3,nan
82,CL2&CD3>=2121.0&CD45RA>=741.5,0.759368836292,2,CL2,CD3,CD45RA,nan
56,CL2&CD3>=2121.0&CD4>=1289.0,0.589984783511,2,CL2,CD3,CD4,nan
104,CL2&CD4>=1289.0&CD3>=2121.0,0.589984783511,2,CL2,CD4,CD3,nan
79,CL2&CD3>=2121.0,0.540540540541,1,CL2,CD3,nan,nan
87,CL2&CD4>=1289.0,0.424365139627,1,CL2,CD4,nan,nan
73,CL2&CD45RA>=741.5,0.307408545958,1,CL2,CD45RA,nan,nan
40,CL3&CD3>=377.5&CD45RO>=564.5&CD4>=1396.5,0.646281551753,3,CL3,CD3,CD45RO,CD4
67,CL3&CD45RO>=564.5&CD4>=1396.5&CD3>=377.5,0.646281551753,3,CL3,CD45RO,CD4,CD3
77,CL3&CD45RO>=564.5&CD3>=377.5&CD4>=1396.5,0.646281551753,3,CL3,CD45RO,CD3,CD4
96,CL3&CD4>=1396.5&CD3>=377.5&CD45RO>=564.5,0.646281551753,3,CL3,CD4,CD3,CD45RO
118,CL3&CD4>=1396.5&CD45RO>=564.5&CD3>=377.5,0.646281551753,3,CL3,CD4,CD45RO,CD3
130,CL3&CD3>=377.5&CD4>=1396.5&CD45RO>=564.5,0.646281551753,3,CL3,CD3,CD4,CD45RO
21,CL3&CD4>=1396.5&CD45RO>=564.5,0.645324347094,2,CL3,CD4,CD45RO,nan
50,CL3&CD45RO>=564.5&CD4>=1396.5,0.645324347094,2,CL3,CD45RO,CD4,nan
25,CL3&CD3>=377.5&CD45RO>=564.5,0.509524443852,2,CL3,CD3,CD45RO,nan
93,CL3&CD45RO>=564.5&CD3>=377.5,0.509524443852,2,CL3,CD45RO,CD3,nan
11,CL3&CD4>=1396.5&CD3>=377.5,0.498092412039,2,CL3,CD4,CD3,nan
92,CL3&CD3>=377.5&CD4>=1396.5,0.498092412039,2,CL3,CD3,CD4,nan
131,CL3&CD4>=1396.5,0.4972585407,1,CL3,CD4,nan,nan
16,CL3&CD45RO>=564.5,0.451605315771,1,CL3,CD45RO,nan,nan
76,CL3&CD3>=377.5,0.332093966537,1,CL3,CD3,nan,nan
24,CL4&CD16>=984.5&CD45RA>=5034.5,0.823959505062,2,CL4,CD16,CD45RA,nan
70,CL4&CD45RA>=5034.5&CD16>=984.5,0.823959505062,2,CL4,CD45RA,CD16,nan
75,CL4&CD56>=343.5&CD45RA>=5034.5,0.786982248521,2,CL4,CD56,CD45RA,nan
105,CL4&CD45RA>=5034.5&CD56>=343.5,0.786982248521,2,CL4,CD45RA,CD56,nan
2,CL4&CD45RA>=5034.5&CD16>=984.5&CD56>=343.5,0.785528031291,3,CL4,CD45RA,CD16,CD56
52,CL4&CD56>=343.5&CD45RA>=5034.5&CD16>=984.5,0.785528031291,3,CL4,CD56,CD45RA,CD16
60,CL4&CD56>=343.5&CD16>=984.5&CD45RA>=5034.5,0.785528031291,3,CL4,CD56,CD16,CD45RA
68,CL4&CD45RA>=5034.5&CD56>=343.5&CD16>=984.5,0.785528031291,3,CL4,CD45RA,CD56,CD16
84,CL4&CD16>=984.5&CD56>=343.5&CD45RA>=5034.5,0.785528031291,3,CL4,CD16,CD56,CD45RA
94,CL4&CD16>=984.5&CD45RA>=5034.5&CD56>=343.5,0.785528031291,3,CL4,CD16,CD45RA,CD56
64,CL4&CD45RA>=5034.5,0.779301745636,1,CL4,CD45RA,nan,nan
13,CL4&CD16>=984.5&CD56>=343.5,0.546166529266,2,CL4,CD16,CD56,nan
30,CL4&CD56>=343.5&CD16>=984.5,0.546166529266,2,CL4,CD56,CD16,nan
109,CL4&CD56>=343.5,0.412166003411,1,CL4,CD56,nan,nan
112,CL4&CD16>=984.5,0.403945514326,1,CL4,CD16,nan,nan
125,CL5&CD45RA>=1826.5,0.51946001421,1,CL5,CD45RA,nan,nan
69,CL5&CD3>=36.5&CD45RA>=1826.5,0.152075626798,2,CL5,CD3,CD45RA,nan
99,CL5&CD45RA>=1826.5&CD3>=36.5,0.152075626798,2,CL5,CD45RA,CD3,nan
44,CL5&CD45RA>=1826.5&CD127>=23.5,0.0766518473095,2,CL5,CD45RA,CD127,nan
115,CL5&CD127>=23.5&CD45RA>=1826.5,0.0766518473095,2,CL5,CD127,CD45RA,nan
38,CL5&CD127>=23.5&CD3>=36.5&CD45RA>=1826.5,0.0554038863016,3,CL5,CD127,CD3,CD45RA
59,CL5&CD3>=36.5&CD45RA>=1826.5&CD127>=23.5,0.0554038863016,3,CL5,CD3,CD45RA,CD127
