,index,f-measure,markerCount,clusterName,1,2,3,f-measureRank
14,CL1&CD8a>=1658.0&CD45RO>=233.5&CD3>=263.5,0.636363636364,3,CL1,CD8a,CD45RO,CD3,3.5
19,CL1&CD3>=263.5&CD45RO>=233.5&CD8a>=1658.0,0.636363636364,3,CL1,CD3,CD45RO,CD8a,3.5
28,CL1&CD8a>=1658.0&CD3>=263.5&CD45RO>=233.5,0.636363636364,3,CL1,CD8a,CD3,CD45RO,3.5
117,CL1&CD45RO>=233.5&CD8a>=1658.0&CD3>=263.5,0.636363636364,3,CL1,CD45RO,CD8a,CD3,3.5
124,CL1&CD3>=263.5&CD8a>=1658.0&CD45RO>=233.5,0.636363636364,3,CL1,CD3,CD8a,CD45RO,3.5
127,CL1&CD45RO>=233.5&CD3>=263.5&CD8a>=1658.0,0.636363636364,3,CL1,CD45RO,CD3,CD8a,3.5
4,CL1&CD8a>=1658.0&CD45RO>=233.5,0.636334712059,2,CL1,CD8a,CD45RO,nan,7.5
95,CL1&CD45RO>=233.5&CD8a>=1658.0,0.636334712059,2,CL1,CD45RO,CD8a,nan,7.5
49,CL1&CD8a>=1658.0&CD3>=263.5,0.534896501191,2,CL1,CD8a,CD3,nan,9.5
83,CL1&CD3>=263.5&CD8a>=1658.0,0.534896501191,2,CL1,CD3,CD8a,nan,9.5
5,CL1&CD8a>=1658.0,0.53451101803,1,CL1,CD8a,nan,nan,11.0
10,CL1&CD3>=263.5&CD45RO>=233.5,0.212216956293,2,CL1,CD3,CD45RO,nan,12.5
85,CL1&CD45RO>=233.5&CD3>=263.5,0.212216956293,2,CL1,CD45RO,CD3,nan,12.5
45,CL1&CD3>=263.5,0.169912731896,1,CL1,CD3,nan,nan,14.0
42,CL1&CD45RO>=233.5,0.137912200451,1,CL1,CD45RO,nan,nan,15.0
3,CL2&CD45RA>=741.5&CD3>=2121.0&CD4>=1289.0,0.837190581606,3,CL2,CD45RA,CD3,CD4,3.5
6,CL2&CD45RA>=741.5&CD4>=1289.0&CD3>=2121.0,0.837190581606,3,CL2,CD45RA,CD4,CD3,3.5
71,CL2&CD3>=2121.0&CD45RA>=741.5&CD4>=1289.0,0.837190581606,3,CL2,CD3,CD45RA,CD4,3.5
81,CL2&CD4>=1289.0&CD45RA>=741.5&CD3>=2121.0,0.837190581606,3,CL2,CD4,CD45RA,CD3,3.5
100,CL2&CD3>=2121.0&CD4>=1289.0&CD45RA>=741.5,0.837190581606,3,CL2,CD3,CD4,CD45RA,3.5
108,CL2&CD4>=1289.0&CD3>=2121.0&CD45RA>=741.5,0.837190581606,3,CL2,CD4,CD3,CD45RA,3.5
1,CL2&CD4>=1289.0&CD45RA>=741.5,0.805660068706,2,CL2,CD4,CD45RA,nan,7.5
48,CL2&CD45RA>=741.5&CD4>=1289.0,0.805660068706,2,CL2,CD45RA,CD4,nan,7.5
61,CL2&CD45RA>=741.5&CD3>=2121.0,0.759368836292,2,CL2,CD45RA,CD3,nan,9.5
82,CL2&CD3>=2121.0&CD45RA>=741.5,0.759368836292,2,CL2,CD3,CD45RA,nan,9.5
56,CL2&CD3>=2121.0&CD4>=1289.0,0.589984783511,2,CL2,CD3,CD4,nan,11.5
104,CL2&CD4>=1289.0&CD3>=2121.0,0.589984783511,2,CL2,CD4,CD3,nan,11.5
79,CL2&CD3>=2121.0,0.540540540541,1,CL2,CD3,nan,nan,13.0
87,CL2&CD4>=1289.0,0.424365139627,1,CL2,CD4,nan,nan,14.0
73,CL2&CD45RA>=741.5,0.307408545958,1,CL2,CD45RA,nan,nan,15.0
40,CL3&CD3>=377.5&CD45RO>=564.5&CD4>=1396.5,0.646281551753,3,CL3,CD3,CD45RO,CD4,3.5
67,CL3&CD45RO>=564.5&CD4>=1396.5&CD3>=377.5,0.646281551753,3,CL3,CD45RO,CD4,CD3,3.5
77,CL3&CD45RO>=564.5&CD3>=377.5&CD4>=1396.5,0.646281551753,3,CL3,CD45RO,CD3,CD4,3.5
96,CL3&CD4>=1396.5&CD3>=377.5&CD45RO>=564.5,0.646281551753,3,CL3,CD4,CD3,CD45RO,3.5
118,CL3&CD4>=1396.5&CD45RO>=564.5&CD3>=377.5,0.646281551753,3,CL3,CD4,CD45RO,CD3,3.5
130,CL3&CD3>=377.5&CD4>=1396.5&CD45RO>=564.5,0.646281551753,3,CL3,CD3,CD4,CD45RO,3.5
21,CL3&CD4>=1396.5&CD45RO>=564.5,0.645324347094,2,CL3,CD4,CD45RO,nan,7.5
50,CL3&CD45RO>=564.5&CD4>=1396.5,0.645324347094,2,CL3,CD45RO,CD4,nan,7.5
25,CL3&CD3>=377.5&CD45RO>=564.5,0.509524443852,2,CL3,CD3,CD45RO,nan,9.5
93,CL3&CD45RO>=564.5&CD3>=377.5,0.509524443852,2,CL3,CD45RO,CD3,nan,9.5
11,CL3&CD4>=1396.5&CD3>=377.5,0.498092412039,2,CL3,CD4,CD3,nan,11.5
92,CL3&CD3>=377.5&CD4>=1396.5,0.498092412039,2,CL3,CD3,CD4,nan,11.5
131,CL3&CD4>=1396.5,0.4972585407,1,CL3,CD4,nan,nan,13.0
16,CL3&CD45RO>=564.5,0.451605315771,1,CL3,CD45RO,nan,nan,14.0
76,CL3&CD3>=377.5,0.332093966537,1,CL3,CD3,nan,nan,15.0
24,CL4&CD16>=984.5&CD45RA>=5034.5,0.823959505062,2,CL4,CD16,CD45RA,nan,1.5
70,CL4&CD45RA>=5034.5&CD16>=984.5,0.823959505062,2,CL4,CD45RA,CD16,nan,1.5
75,CL4&CD56>=343.5&CD45RA>=5034.5,0.786982248521,2,CL4,CD56,CD45RA,nan,3.5
105,CL4&CD45RA>=5034.5&CD56>=343.5,0.786982248521,2,CL4,CD45RA,CD56,nan,3.5
2,CL4&CD45RA>=5034.5&CD16>=984.5&CD56>=343.5,0.785528031291,3,CL4,CD45RA,CD16,CD56,7.5
52,CL4&CD56>=343.5&CD45RA>=5034.5&CD16>=984.5,0.785528031291,3,CL4,CD56,CD45RA,CD16,7.5
60,CL4&CD56>=343.5&CD16>=984.5&CD45RA>=5034.5,0.785528031291,3,CL4,CD56,CD16,CD45RA,7.5
68,CL4&CD45RA>=5034.5&CD56>=343.5&CD16>=984.5,0.785528031291,3,CL4,CD45RA,CD56,CD16,7.5
84,CL4&CD16>=984.5&CD56>=343.5&CD45RA>=5034.5,0.785528031291,3,CL4,CD16,CD56,CD45RA,7.5
94,CL4&CD16>=984.5&CD45RA>=5034.5&CD56>=343.5,0.785528031291,3,CL4,CD16,CD45RA,CD56,7.5
